1	пробел
2	!
3	#
5	$
6	%
7	&
8	'
9	(
10
11	*
12	+
13	,
14	-
15	.
16	/
17	0
18	1
19	2
20	3
21	4
22	5
23	6
24	7
25	8
26	9
27	:
28	;
29	<
30	=
31	>
32	?
33	@
34	A
35	B
36	C
37	D
38	E
39	F
40	G
41	H
42	I
43	J
44	K
45	L
46	M
47	N
48	O
49	P
50	Q
51	R
52	S
53	T
54	U
55	V
56	W
57	X
58	Y
59	Z
60	[
60	[
61	обратный слеш
62	]
63	^
64	_
65	`
66	a
67	b
68	c
69	d
70	e
71	f
72	g
73	h
74	i
75	j
76	k
77	l
78	m
79	n
80	o
81	p
82	q
83	r
84	s
85	t
86	u
87	v
88	w
89	x
90	y
91	z
92	{
93	|
94	}
95	~
96	⌂
97	А
98	Б
99	В
100	Г
101	Д
102	Е
103	Ж
104	З
105	И
106	Й
107	К
108	Л
109	М
110	Н
111	О
112	П
113	Р
114	С
115	Т
116	У
117	Ф
118	Х
119	Ц
120	Ч
121	Ш
122	Щ
123	Ъ
124	Ы
125	Ь
126	Э
127	Ю
128	Я
129	а
130	б
131	в
132	г
133	д
134	е
135	ж
136	з
137	и
138	й
139	к
140	л
141	м
142	н
143	о
144	п
145	р
146	с
147	т
148	у
149	ф
150	х
151	ц
152	ч
153	ш
154	щ
155	ъ
156	ы
157	ь
158	э
159	ю
160	я
